Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Gang of Youths,Go Farther in Lightness,/album/259560/Gang-of-Youths-Go-Farther-in-Lightness/,285,4.013684211,3.987208786,-0.026,3.780722311,3.78 - 4.17,1,9,"SowingSeason (2.4%), Willie (2.1%), klap (2.0%), BigHans (1.9%), Green+Baron (1.8%)"
Brand New,Science Fiction,/album/259551/Brand-New-Science-Fiction/,1262,4.062361331,3.864654976,-0.198,3.765254758,3.77 - 3.96,2,5,"Trebor. (0.8%), SowingSeason (0.8%), Willie (0.7%), klap (0.7%), Hawks (0.6%)"
Chelsea Wolfe,Hiss Spun,/album/255016/Chelsea-Wolfe-Hiss-Spun/,372,4.022849462,3.938837404,-0.084,3.756485473,3.76 - 4.11,3,8,"Trebor. (2.2%), Willie (1.9%), Green+Baron (1.6%), BigHans (1.6%), linguist2011 (1.6%)"
The Menzingers,After the Party,/album/234710/The-Menzingers-After-the-Party/,604,4.030960265,3.891737348,-0.139,3.747852732,3.75 - 4.03,4,7,"Trebor. (1.5%), SowingSeason (1.5%), Atari (1.2%), Green+Baron (1.2%), BigHans (1.1%)"
Elder,Reflections of a Floating World,/album/249336/Elder-USA-MA-Reflections-of-a-Floating-World/,362,4.002209945,3.914606454,-0.088,3.72835245,3.73 - 4.09,5,11,"Trebor. (2.5%), Willie (2.1%), Atari (1.9%), Hawks (1.9%), insomniac15 (1.8%)"
The National,Sleep Well Beast,/album/252598/The-National-Sleep-Well-Beast/,570,4.006315789,3.864136708,-0.142,3.714743908,3.71 - 4,6,10,"Trebor. (1.5%), SowingSeason (1.5%), klap (1.3%), Green+Baron (1.2%), insomniac15 (1.1%)"
Converge,I Can Tell You About Pain,/album/257943/Converge-I-Can-Tell-You-About-Pain/,350,3.965714286,3.900108245,-0.066,3.709792312,3.71 - 4.07,7,18,"Trebor. (2.0%), Green+Baron (1.5%), Hawks (1.5%), Hep+Kat (1.5%), Frippertronics (1.5%)"
"Tyler, the Creator",Flower Boy,/album/256417/Tyler-the-Creator-Flower-Boy/,652,3.934969325,3.83907932,-0.096,3.698710911,3.7 - 3.97,8,33,"SowingSeason (1.5%), Trebor. (1.4%), BigHans (1.1%), greg84 (1.1%), Rowan5215 (1.0%)"
Kauan,Kaiho,/album/261052/Kauan-Kaiho/,153,3.952941176,3.980442086,0.028,3.693373746,3.69 - 4.23,9,21,"Trebor. (5.0%), Crysis (4.0%), Hawks (3.8%), Atari (3.7%), insomniac15 (3.5%)"
Glassjaw,Material Control,/album/268327/Glassjaw-Material-Control/,445,3.954606742,3.851977409,-0.103,3.681694726,3.68 - 4.01,10,19,"Trebor. (1.6%), SowingSeason (1.6%), Willie (1.4%), Green+Baron (1.2%), Hep+Kat (1.2%)"
Manchester Orchestra,A Black Mile to the Surface,/album/254883/Manchester-Orchestra-A-Black-Mile-to-the-Surface/,546,3.989377289,3.831251892,-0.158,3.67716409,3.68 - 3.98,11,15,"Trebor. (1.6%), SowingSeason (1.5%), Willie (1.4%), klap (1.3%), BigHans (1.2%)"
The Ruins Of Beverast,Exuvia,/album/249629/The-Ruins-Of-Beverast-Exuvia/,131,3.946564885,3.973987346,0.027,3.66172212,3.66 - 4.24,12,26,"Trebor. (6.4%), Hawks (4.8%), linguist2011 (4.6%), CaptainDooRight (4.2%), kingdedethefifth (3.6%)"
The Great Old Ones,EOD: A Tale of Dark Legacy,/album/238073/The-Great-Old-Ones-EOD-A-Tale-of-Dark-Legacy/,161,3.951552795,3.943088111,-0.008,3.660756971,3.66 - 4.19,13,24,"Trebor. (4.1%), Hawks (3.1%), linguist2011 (3.1%), Storm+In+A+Teacup (2.8%), Gameofmetal (2.5%)"
King Krule,The OOZ,/album/261982/King-Krule-The-OOZ/,199,3.786432161,3.905720806,0.119,3.650630929,3.65 - 4.13,14,185,"robertsona (3.3%), Rowan5215 (3.0%), DoofusWainwright (2.9%), Arcade (2.8%), butcherboy (2.8%)"
Fen,Winter,/album/245848/Fen-Winter/,197,3.878172589,3.906373367,0.028,3.64997337,3.65 - 4.13,15,82,"Crysis (2.8%), Hawks (2.6%), Atari (2.6%), linguist2011 (2.4%), Spec (2.3%)"
Amenra,Mass VI,/album/261569/Amenra-Mass-VI/,162,3.951851852,3.922325428,-0.03,3.639358997,3.64 - 4.17,16,23,"Willie (4.1%), linguist2011 (3.4%), theacademy (2.8%), Chamberbelain (2.6%), Archelirion (2.6%)"
The Black Dahlia Murder,Nightbringers,/album/258548/The-Black-Dahlia-Murder-Nightbringers/,296,3.881081081,3.819691821,-0.061,3.607702287,3.61 - 4.01,17,79,"Trebor. (3.1%), Willie (2.8%), Hawks (2.4%), linguist2011 (2.4%), Gameofmetal (1.9%)"
Milo,Who Told You To Think??!!?!?!?!,/album/256274/Milo-Who-Told-You-To-Think%E2%80%8B%E2%80%8B%21%E2%80%8B%21%E2%80%8B%E2%80%8B%21%E2%80%8B%E2%80%8B%21%E2%80%8B%E2%80%8B%21/,197,3.898477157,3.860419651,-0.038,3.601005853,3.6 - 4.09,18,60,"Trebor. (3.2%), Green+Baron (2.4%), Frippertronics (2.3%), DoofusWainwright (2.0%), Calc (2.0%)"
Converge,The Dusk in Us,/album/259476/Converge-The-Dusk-in-Us/,630,3.916031746,3.74550665,-0.171,3.599258878,3.6 - 3.88,19,43,"Trebor. (1.4%), SowingSeason (1.3%), Willie (1.2%), Hawks (1.0%), Hep+Kat (1.0%)"
Brockhampton,SATURATION II,/album/256374/Brockhampton-SATURATION-II/,431,3.917865429,3.77351093,-0.144,3.596963876,3.6 - 3.94,20,41,"Trebor. (2.2%), BigHans (1.7%), greg84 (1.6%), Hep+Kat (1.6%), Rowan5215 (1.5%)"
The Smith Street Band,More Scared of You Than You Are of Me,/album/244900/The-Smith-Street-Band-More-Scared-of-You-Than-You-Are-of-Me/,179,3.844134078,3.864313481,0.02,3.591826446,3.59 - 4.11,21,112,"Trebor. (3.9%), Atari (2.9%), BigHans (2.9%), Rowan5215 (2.5%), Arcade (2.3%)"
Mount Eerie,A Crow Looked At Me,/album/243306/Mount-Eerie-A-Crow-Looked-At-Me/,416,3.944951923,3.769354102,-0.176,3.589382146,3.59 - 3.94,22,28,"Trebor. (2.0%), SowingSeason (1.9%), Hawks (1.5%), Green+Baron (1.4%), Ponton (1.3%)"
