value,input_value
RTRADE,"=HYPERLINK(""https://roughtrade.com/us/albums-of-the-year"",""RTRADE"")"
RSTONE,"=HYPERLINK(""http://www.rollingstone.com/music/lists/50-best-albums-of-2017-w511763"",""RSTONE"")"
Q,"=HYPERLINK(""https://www.qthemusic.com/articles/when-liam-met-ed-the-new-issue-out-on-tuesday"",""Q"")"
PASTE,"=HYPERLINK(""https://www.pastemagazine.com/articles/2017/11/the-50-best-albums-of-2017.html"",""PASTE"")"
NME,"=HYPERLINK(""http://www.nme.com/list/nmes-albums-of-the-year-2017-2161481"",""NME"")"
MOJO,"=HYPERLINK(""https://www.mojo4music.com/articles/mojo-290-january-2018"",""MOJO"")"
DRWND,"=HYPERLINK(""http://drownedinsound.com/in_depth/4151506-drowned-in-sounds-favourite-albums-of-2017"",""DRWND"")"
CoS,"=HYPERLINK(""https://consequenceofsound.net/2017/11/top-50-albums-of-2017/"",""CoS"")"
UNCUT,"=HYPERLINK(""http://www.uncut.co.uk/publication/uncut/january-2018"",""UNCUT"")"
SKINNY,"=HYPERLINK(""http://www.theskinny.co.uk/music/opinion/albums-of-the-year/the-skinny-top-50-albums-of-2017"",""SKINNY"")"
CMPLX,"=HYPERLINK(""http://www.complex.com/music/best-albums-2017/"",""CMPLX"")"
CRACK,"=HYPERLINK(""https://crackmagazine.net/article/feature-lists/albums-2017-100-51/"",""CRACK"")"
GvsB,"=HYPERLINK(""http://www.gorillavsbear.net/gorilla-vs-bears-albums-of-2017/"",""GvsB"")"
NOISEY,"=HYPERLINK(""https://noisey.vice.com/en_us/article/pazbwn/noisey-100-best-albums-of-2017"",""NOISEY"")"
QUIETUS,"=HYPERLINK(""http://thequietus.com/articles/23660-albums-of-the-year-2017"",""QUIETUS"")"
STRGUM,"=HYPERLINK(""https://www.stereogum.com/featured/the-50-best-albums-of-2017/"",""STRGUM"")"
UPROXX,"=HYPERLINK(""http://uproxx.com/music/best-albums-of-2017-ranked-list/"",""UPROXX"")"
VNLFCT,"=HYPERLINK(""https://thevinylfactory.com/features/best-albums-2017/"",""VNLFCT"")"
WIRE,"=HYPERLINK(""https://www.thewire.co.uk/issues/407"",""WIRE"")"
POPMAT,"=HYPERLINK(""https://www.popmatters.com/60-best-albums-of-2017-2516162820.html"",""POPMAT"")"
PFORK,"=HYPERLINK(""https://pitchfork.com/features/lists-and-guides/the-50-best-albums-of-2017/"",""PFORK"")"
NPR,"=HYPERLINK(""https://www.npr.org/2017/12/12/568400855/the-50-best-albums-of-2017"",""NPR"")"
SPIN,"=HYPERLINK(""https://www.spin.com/featured/50-best-albums-2017/"",""SPIN"")"
LINE,"=HYPERLINK(""https://www.thelineofbestfit.com/features/listomania/best-albums-of-2017"",""LINE"")"
TMT,"=HYPERLINK(""https://www.tinymixtapes.com/features/2017-favorite-50-music-releases"",""TMT"")"
ALTERN,"=HYPERLINK(""http://www.getalternative.com/alternatives-top-50-releases-2017-3/"",""ALTERN"")"
FACT,"=HYPERLINK(""http://www.factmag.com/2017/12/20/best-albums-2017/"",""FACT"")"
