band,album,rank,staff
the national,sleep well beast,1,TRUE
ulver,the assassination of julius caesar,2,TRUE
kendrick lamar,damn.,3,TRUE
manchester orchestra,a black mile to the surface,4,TRUE
the menzingers,after the party,5,TRUE
blood cultures,happy birthday,6,TRUE
lorde,melodrama,7,TRUE
gang of youths,go farther in lightness,8,TRUE
pain of salvation,in the passing light of day,9,TRUE
vince staples,big fish theory,10,TRUE
brand new,science fiction,11,TRUE
"tyler, the creator",flower boy,12,TRUE
phoebe bridgers,strangers in the alps,13,TRUE
mount eerie,a crow looked at me,14,TRUE
paramore,after laughter,15,TRUE
the war on drugs,a deeper understanding,16,TRUE
glassjaw,material control,17,TRUE
arca,arca,18,TRUE
sampha,process,19,TRUE
st. vincent,masseduction,20,TRUE
falls of rauros,vigilance perennial,21,TRUE
fleet foxes,crack-up,22,TRUE
jurg frey,ephemeral constructions,22,TRUE
fever ray,plunge,24,TRUE
fen,winter,25,TRUE
disperse,foreword,26,TRUE
iglooghost,neo wax bloom,27,TRUE
slowdive,slowdive,28,TRUE
artificial brain,infrared horizon,29,TRUE
propagandhi,victory lap,30,TRUE
steven wilson,to the bone,31,TRUE
bedwetter,volume 1: flick your tongue against your teeth...,32,TRUE
wolves in the throne room,thrice woven,33,TRUE
krallice,go be forgotten,34,TRUE
brockhampton,saturation ii,35,TRUE
cradle of filth,cryptoriana - the seductiveness of decay,36,TRUE
do make say think,stubborn persistent illusions,37,TRUE
pvris,"all we know of heaven, all we need of hell",38,TRUE
blanck mass,world eater,39,TRUE
king krule,the ooz,40,TRUE
and so i watch you from afar,the endless shimmering,41,TRUE
lykantropi,lykantropi,42,TRUE
julien baker,turn out the lights,43,TRUE
the smith street band,more scared of you than you are of me,43,TRUE
dad thighs,the ghosts that i fear,45,TRUE
death's dynamic shroud.wmv,heavy black heart,46,TRUE
the world is a beautiful place...,always foreign,47,TRUE
1800haightstreet,endless,48,TRUE
benjamin clementine,i tell a fly,48,TRUE
sorcerer,the crowning of the fire king,48,TRUE
brand new,science fiction,1,FALSE
the menzingers,after the party,2,FALSE
gang of youths,go farther in lightness,3,FALSE
manchester orchestra,a black mile to the surface,4,FALSE
the national,sleep well beast,5,FALSE
converge,the dusk in us,6,FALSE
mount eerie,a crow looked at me,7,FALSE
julien baker,turn out the lights,8,FALSE
lorde,melodrama,9,FALSE
kendrick lamar,damn.,10,FALSE
"tyler, the creator",flower boy,11,FALSE
glassjaw,material control,12,FALSE
brockhampton,saturation ii,13,FALSE
fleet foxes,crack-up,14,FALSE
ulver,the assassination of julius caesar,15,FALSE
king krule,the ooz,16,FALSE
mastodon,emperor of sand,17,FALSE
elder,reflections of a floating world,18,FALSE
amenra,mass vi,19,FALSE
brockhampton,saturation,20,FALSE
the war on drugs,a deeper understanding,21,FALSE
protomartyr,relatives in descent,22,FALSE
slowdive,slowdive,23,FALSE
chelsea wolfe,hiss spun,24,FALSE
iglooghost,neo wax bloom,25,FALSE
the smith street band,more scared of you than you are of me,26,FALSE
68,two parts viper,27,FALSE
perfume genius,no shape,28,FALSE
vince staples,big fish theory,29,FALSE
artificial brain,infrared horizon,30,FALSE
counterparts,you're not you anymore,31,FALSE
everything everything,a fever dream,32,FALSE
oxbow,thin black duke,33,FALSE
fen,winter,34,FALSE
circa survive,the amulet,35,FALSE
kauan,kaiho,36,FALSE
paramore,after laughter,37,FALSE
bell witch,mirror reaper,38,FALSE
milo,who told you to think??!!?!?!?!,39,FALSE
arcane roots,melancholia hymns,40,FALSE
pain of salvation,in the passing light of day,41,FALSE
spoon,hot thoughts,42,FALSE
queens of the stone age,villains,43,FALSE
idles,brutalism,44,FALSE
leprous,malina,45,FALSE
the contortionist,clairvoyant,46,FALSE
forest swords,compassion,47,FALSE
benjamin clementine,i tell a fly,48,FALSE
alvvays,antisocialites,49,FALSE
ryuichi sakamoto,async,50,FALSE
