Voter_id,Album_Points
1,10
1,10
1,10
1,10
1,10
1,10
1,10
1,10
1,10
1,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
3,21
3,17
3,14
3,13
3,11
3,9
3,7
3,5
3,2
3,1
4,25
4,20
4,20
4,8
4,7
4,5
4,5
4,5
4,3
4,2
5,15
5,15
5,15
5,15
5,10
5,10
5,5
5,5
5,5
5,5
6,20
6,15
6,15
6,10
6,10
6,6
6,6
6,6
6,6
6,6
7,20
7,17
7,15
7,15
7,13
7,10
7,10
7,5
7,3
7,2
8,20
8,15
8,15
8,10
8,9
8,8
8,7
8,6
8,5
8,5
9,20
9,10
9,10
9,10
9,10
9,10
9,10
9,10
9,5
9,5
10,20
10,20
10,10
10,10
10,10
10,10
10,5
10,5
10,5
10,5
11,15
11,15
11,15
11,10
11,10
11,10
11,10
11,5
11,5
11,5
12,10
12,10
12,10
12,10
12,10
12,10
12,10
12,10
12,10
12,10
13,27
13,27
13,27
13,5
13,3
13,3
13,3
13,3
13,1
13,1
14,30
14,25
14,20
14,8
14,7
14,2
14,2
14,2
14,2
14,2
15,15
15,15
15,12
15,11
15,11
15,10
15,10
15,8
15,4
15,4
16,15
16,15
16,10
16,10
16,10
16,10
16,10
16,10
16,5
16,5
17,20
17,20
17,10
17,10
17,10
17,10
17,5
17,5
17,5
17,5
18,20
18,17
18,14
18,14
18,10
18,6
18,6
18,5
18,5
18,3
19,30
19,15
19,8
19,7
19,7
19,7
19,7
19,7
19,6
19,6
20,20
20,18
20,15
20,10
20,10
20,7
20,5
20,5
20,5
20,5
21,15
21,15
21,10
21,10
21,10
21,10
21,10
21,10
21,5
21,5
22,30
22,15
22,15
22,10
22,10
22,5
22,5
22,5
22,3
22,2
23,15
23,15
23,15
23,10
23,10
23,10
23,10
23,5
23,5
23,5
24,30
24,25
24,8
24,8
24,7
24,6
24,5
24,4
24,4
24,3
25,25
25,20
25,13
25,12
25,10
25,8
25,4
25,4
25,2
25,2
26,30
26,12
26,10
26,10
26,8
26,8
26,7
26,5
26,5
26,5
27,20
27,20
27,10
27,10
27,10
27,10
27,5
27,5
27,5
27,5
28,20
28,15
28,15
28,13
28,10
28,10
28,5
28,5
28,5
28,2
29,20
29,17
29,14
29,10
29,8
29,8
29,7
29,6
29,5
29,5
30,10
30,10
30,10
30,10
30,10
30,10
30,10
30,10
30,10
30,10
31,23
31,18
31,15
31,8
31,8
31,8
31,8
31,4
31,4
31,4
32,20
32,19
32,14
32,13
32,12
32,9
32,7
32,3
32,2
32,1
33,20
33,20
33,11
33,11
33,11
33,11
33,5
33,5
33,5
33,1
34,20
34,15
34,15
34,10
34,10
34,10
34,5
34,5
34,5
34,5
35,30
35,25
35,10
35,5
35,5
35,5
35,5
35,5
35,5
35,5
36,20
36,20
36,20
36,10
36,10
36,5
36,5
36,4
36,3
36,3
37,30
37,25
37,25
37,5
37,5
37,4
37,3
37,1
37,1
37,1
38,24
38,20
38,15
38,10
38,9
38,8
38,8
38,3
38,2
38,1
39,30
39,15
39,10
39,10
39,10
39,5
39,5
39,5
39,5
39,5
40,30
40,20
40,10
40,10
40,8
40,8
40,5
40,3
40,3
40,3
41,25
41,18
41,15
41,12
41,10
41,8
41,7
41,3
41,1
41,1
42,30
42,15
42,15
42,10
42,6
42,6
42,6
42,6
42,3
42,3
43,20
43,15
43,15
43,10
43,10
43,10
43,5
43,5
43,5
43,5
44,20
44,20
44,20
44,10
44,10
44,5
44,5
44,5
44,3
44,2
45,30
45,15
45,11
45,10
45,8
45,7
45,7
45,6
45,4
45,2
46,20
46,18
46,15
46,13
46,10
46,10
46,5
46,5
46,2
46,2
47,20
47,15
47,15
47,10
47,10
47,10
47,5
47,5
47,5
47,5
48,30
48,25
48,20
48,10
48,10
48,1
48,1
48,1
48,1
48,1
49,30
49,15
49,10
49,10
49,6
49,6
49,6
49,6
49,6
49,5
50,20
50,15
50,15
50,15
50,10
50,5
50,5
50,5
50,5
50,5
51,18
51,17
51,16
51,15
51,13
51,11
51,4
51,3
51,2
51,1
52,10
52,10
52,10
52,10
52,10
52,10
52,10
52,10
52,10
52,10
53,30
53,18
53,10
53,10
53,9
53,9
53,5
53,5
53,2
53,2
54,20
54,17
54,15
54,13
54,8
54,7
54,6
54,5
54,5
54,4
55,15
55,10
55,10
55,10
55,10
55,10
55,10
55,10
55,10
55,5
56,20
56,12
56,12
56,10
56,10
56,10
56,8
56,8
56,6
56,4
57,15
57,15
57,15
57,15
57,15
57,5
57,5
57,5
57,5
57,5
58,10
58,10
58,10
58,10
58,10
58,10
58,10
58,10
58,10
58,10
59,30
59,25
59,10
59,10
59,9
59,5
59,4
59,3
59,2
59,2
60,30
60,15
60,10
60,10
60,10
60,5
60,5
60,5
60,5
60,5
61,14
61,13
61,12
61,11
61,10
61,10
61,9
61,8
61,7
61,6
62,20
62,18
62,15
62,14
62,10
62,10
62,5
62,3
62,3
62,2
63,30
63,15
63,13
63,11
63,10
63,8
63,5
63,4
63,3
63,1
64,20
64,20
64,10
64,10
64,10
64,10
64,5
64,5
64,5
64,5
65,13
65,11
65,11
65,11
65,10
65,10
65,9
65,9
65,8
65,8
66,20
66,20
66,15
66,10
66,10
66,5
66,5
66,5
66,5
66,5
67,20
67,15
67,15
67,10
67,10
67,10
67,10
67,5
67,3
67,2
68,20
68,15
68,15
68,10
68,10
68,10
68,5
68,5
68,5
68,5
69,25
69,20
69,15
69,10
69,9
69,7
69,6
69,5
69,2
69,1
70,30
70,15
70,15
70,10
70,5
70,5
70,5
70,5
70,5
70,5
71,10
71,10
71,10
71,10
71,10
71,10
71,10
71,10
71,10
71,10
72,30
72,15
72,15
72,10
72,5
72,5
72,5
72,5
72,5
72,5
73,10
73,10
73,10
73,10
73,10
73,10
73,10
73,10
73,10
73,10
74,25
74,24
74,13
74,10
74,10
74,10
74,2
74,2
74,2
74,2
75,25
75,20
75,20
75,8
75,8
75,5
75,5
75,5
75,2
75,2
76,10
76,10
76,10
76,10
76,10
76,10
76,10
76,10
76,10
76,10
77,30
77,15
77,15
77,10
77,10
77,5
77,5
77,5
77,3
77,2
78,25
78,15
78,15
78,10
78,10
78,5
78,5
78,5
78,5
78,5
79,20
79,15
79,15
79,11
79,7
79,7
79,7
79,7
79,6
79,5
80,26
80,15
80,13
80,13
80,11
80,7
80,7
80,4
80,3
80,1
81,25
81,15
81,10
81,10
81,10
81,10
81,5
81,5
81,5
81,5
82,23
82,12
82,10
82,10
82,10
82,10
82,8
82,7
82,5
82,5
83,20
83,15
83,10
83,10
83,10
83,10
83,10
83,6
83,5
83,4
84,15
84,15
84,10
84,10
84,10
84,8
84,8
84,8
84,8
84,8
85,20
85,20
85,12
85,12
85,8
85,8
85,5
85,5
85,5
85,5
86,20
86,20
86,10
86,10
86,10
86,10
86,5
86,5
86,5
86,5
87,20
87,15
87,12
87,9
87,8
87,8
87,8
87,7
87,7
87,6
88,15
88,15
88,15
88,15
88,10
88,10
88,5
88,5
88,5
88,5
89,20
89,15
89,10
89,10
89,10
89,10
89,10
89,5
89,5
89,5
90,25
90,17
90,17
90,10
90,10
90,9
90,5
90,5
90,1
90,1
91,20
91,15
91,10
91,10
91,10
91,10
91,10
91,5
91,5
91,5
92,30
92,22
92,13
92,12
92,8
92,5
92,4
92,3
92,2
92,1
93,30
93,25
93,15
93,15
93,5
93,2
93,2
93,2
93,2
93,2
94,30
94,25
94,20
94,10
94,5
94,5
94,2
94,1
94,1
94,1
95,15
95,15
95,15
95,15
95,15
95,7
95,6
95,4
95,4
95,4
96,20
96,15
96,15
96,10
96,10
96,10
96,5
96,5
96,5
96,5
97,20
97,13
97,12
97,10
97,10
97,5
97,5
97,5
97,5
97,5
98,30
98,30
98,30
98,2
98,2
98,2
98,1
98,1
98,1
98,1
99,15
99,13
99,11
99,10
99,10
99,10
99,10
99,10
99,6
99,5
100,20
100,15
100,10
100,10
100,10
100,10
100,8
100,7
100,5
100,5
101,30
101,20
101,10
101,10
101,5
101,5
101,5
101,5
101,5
101,5
102,25
102,20
102,15
102,10
102,8
102,7
102,5
102,5
102,3
102,2
103,16
103,14
103,12
103,12
103,10
103,10
103,10
103,8
103,5
103,3
104,30
104,29
104,6
104,5
104,5
104,5
104,5
104,5
104,5
104,5
105,10
105,10
105,10
105,10
105,10
105,10
105,10
105,10
105,10
105,10
106,18
106,17
106,15
106,15
106,9
106,8
106,7
106,5
106,3
106,3
107,24
107,21
107,15
107,10
107,6
107,6
107,6
107,6
107,3
107,3
108,30
108,20
108,15
108,15
108,5
108,5
108,3
108,3
108,2
108,2
109,20
109,20
109,15
109,10
109,10
109,5
109,5
109,5
109,5
109,5
110,30
110,20
110,10
110,10
110,5
110,5
110,5
110,5
110,5
110,5
111,15
111,13
111,11
111,10
111,10
111,10
111,10
111,10
111,6
111,5
112,15
112,15
112,15
112,10
112,10
112,10
112,10
112,5
112,5
112,5
113,20
113,15
113,15
113,10
113,10
113,10
113,5
113,5
113,5
113,5
114,20
114,20
114,15
114,10
114,10
114,5
114,5
114,5
114,5
114,5
115,30
115,20
115,15
115,10
115,10
115,5
115,4
115,3
115,2
115,1
116,30
116,12
116,10
116,10
116,8
116,8
116,7
116,5
116,5
116,5
117,20
117,15
117,15
117,10
117,10
117,10
117,10
117,5
117,3
117,2
118,30
118,15
118,10
118,10
118,10
118,5
118,5
118,5
118,5
118,5
119,20
119,10
119,10
119,10
119,10
119,10
119,10
119,10
119,5
119,5
120,15
120,15
120,10
120,10
120,10
120,10
120,10
120,10
120,5
120,5
121,10
121,10
121,10
121,10
121,10
121,10
121,10
121,10
121,10
121,10
122,15
122,12
122,12
122,10
122,9
122,9
122,9
122,8
122,8
122,8
123,10
123,10
123,10
123,10
123,10
123,10
123,10
123,10
123,10
123,10
124,30
124,30
124,15
124,15
124,2
124,2
124,2
124,2
124,1
124,1
125,25
125,20
125,15
125,10
125,5
125,5
125,5
125,5
125,5
125,5
126,30
126,19
126,15
126,10
126,5
126,5
126,5
126,5
126,5
126,1
127,20
127,20
127,20
127,15
127,5
127,5
127,5
127,5
127,4
127,1
128,20
128,15
128,15
128,10
128,7
128,7
128,7
128,7
128,7
128,5
129,30
129,15
129,15
129,10
129,10
129,5
129,5
129,5
129,4
129,1
130,20
130,15
130,15
130,15
130,10
130,5
130,5
130,5
130,5
130,5
131,30
131,20
131,16
131,10
131,8
131,6
131,4
131,3
131,2
131,1
132,30
132,25
132,10
132,10
132,10
132,3
132,3
132,3
132,3
132,3
133,15
133,15
133,15
133,10
133,10
133,10
133,7
133,7
133,6
133,5
134,15
134,14
134,12
134,12
134,10
134,10
134,7
134,7
134,7
134,6
135,19
135,18
135,14
135,12
135,12
135,11
135,7
135,3
135,2
135,2
136,30
136,15
136,10
136,10
136,10
136,5
136,5
136,5
136,5
136,5
137,16
137,15
137,14
137,12
137,12
137,11
137,8
137,7
137,3
137,2
138,15
138,15
138,15
138,15
138,15
138,5
138,5
138,5
138,5
138,5
139,15
139,15
139,15
139,10
139,10
139,10
139,8
139,7
139,5
139,5
140,30
140,20
140,15
140,10
140,5
140,5
140,5
140,5
140,3
140,2
141,30
141,30
141,5
141,5
141,5
141,5
141,5
141,5
141,5
141,5
142,15
142,15
142,15
142,10
142,10
142,10
142,10
142,5
142,5
142,5
143,30
143,25
143,18
143,15
143,4
143,2
143,2
143,2
143,1
143,1
144,20
144,20
144,10
144,10
144,10
144,10
144,5
144,5
