Band_Album,Rating,ratings,reviews,lists,comments,id
Amenra_Mass VI,4,359,0,1,11,1064
Amenra_Mass VI,5,1,0,0,0,1211
Amenra_Mass VI,5,571,1,0,0,2480
Amenra_Mass VI,3.5,1792,0,9,20,1805
Amenra_Mass VI,4,322,0,2,6,6
Amenra_Mass VI,5,1321,10,438,30860,59
Amenra_Mass VI,3.5,2796,9,13,4402,1451
Amenra_Mass VI,4,1840,1,83,17588,2006
Amenra_Mass VI,4,148,0,0,44,613
Amenra_Mass VI,4,531,4,33,891,2494
Amenra_Mass VI,4,642,0,0,93,845
Amenra_Mass VI,4.5,967,0,1,17,2761
Amenra_Mass VI,4,1045,4,0,5,903
Amenra_Mass VI,4,455,0,0,0,1249
Amenra_Mass VI,4,1024,0,2,4148,674
Amenra_Mass VI,4,568,0,2,21,1430
Amenra_Mass VI,3.5,132,0,1,101,679
Amenra_Mass VI,3,291,0,4,19,1195
Amenra_Mass VI,4,551,5,3,460,1243
Amenra_Mass VI,4,1097,0,1,0,2415
Amenra_Mass VI,3.5,1208,1,0,60,980
Amenra_Mass VI,4.5,1315,8,1,809,2213
Amenra_Mass VI,4.5,26,0,0,0,481
Amenra_Mass VI,3.5,3801,4,68,2907,1521
Amenra_Mass VI,3.5,1141,0,2,4,1494
Amenra_Mass VI,4,2825,0,1,36,1289
Amenra_Mass VI,4.5,367,6,99,11061,68
Amenra_Mass VI,4,902,0,1,182,1303
Amenra_Mass VI,4,491,0,26,5793,1080
Amenra_Mass VI,4,3345,0,26,9342,988
Amenra_Mass VI,4.5,655,0,0,0,213
Amenra_Mass VI,4,477,0,11,15,319
Amenra_Mass VI,3.5,1300,0,0,2,2335
Amenra_Mass VI,3.5,1330,0,4,616,523
Amenra_Mass VI,4.5,989,0,0,67,462
Amenra_Mass VI,4,965,0,0,22,433
Amenra_Mass VI,4,1633,3,6,356,298
Amenra_Mass VI,3.5,901,31,8,2348,1733
Amenra_Mass VI,4,593,1,0,244,533
Amenra_Mass VI,4,2230,0,18,195,2039
Amenra_Mass VI,4,1198,0,0,0,1300
Amenra_Mass VI,4,1243,3,1,6,380
Amenra_Mass VI,4,1551,21,13,28005,29
Amenra_Mass VI,2.5,2293,0,20,55,2668
Amenra_Mass VI,4,581,6,4,460,112
Amenra_Mass VI,4.5,2912,10,87,26367,2441
Amenra_Mass VI,4.5,397,1,7,220,924
Amenra_Mass VI,4.5,373,0,0,0,1425
Amenra_Mass VI,3.5,1713,0,4,5,1740
Amenra_Mass VI,4,574,0,0,0,1242
Amenra_Mass VI,4.5,160,0,2,116,77
Amenra_Mass VI,4.5,457,0,0,177,1329
Amenra_Mass VI,3.5,243,0,1,0,1090
Amenra_Mass VI,3,1362,0,0,1,1623
Amenra_Mass VI,4,1236,6,13,808,916
Amenra_Mass VI,2.5,3473,48,105,9680,1531
Amenra_Mass VI,3.5,938,43,14,4522,1958
Amenra_Mass VI,3.5,237,0,0,12,1980
Amenra_Mass VI,4,404,0,0,818,708
Amenra_Mass VI,4,2495,11,90,29217,956
Amenra_Mass VI,5,6,0,0,0,198
Amenra_Mass VI,5,327,0,0,0,2562
Amenra_Mass VI,4,1,0,0,28,1891
Amenra_Mass VI,2.5,1191,7,23,781,1275
Amenra_Mass VI,2.5,1458,29,8,6728,1323
Amenra_Mass VI,3.5,238,3,0,30,1220
Amenra_Mass VI,4,2669,0,0,10,2333
Amenra_Mass VI,5,365,0,0,0,987
Amenra_Mass VI,4,1397,88,34,4102,1201
Amenra_Mass VI,4,3557,0,0,0,2217
Amenra_Mass VI,3.5,746,0,0,145,2391
Amenra_Mass VI,4,195,0,0,162,2284
Amenra_Mass VI,3,4331,0,0,5,1898
Amenra_Mass VI,4.5,137,0,0,0,1332
Amenra_Mass VI,3.5,482,1,21,451,60
Amenra_Mass VI,2.5,54,0,0,0,1711
Amenra_Mass VI,4,299,2,1,126,118
Amenra_Mass VI,4.5,5898,0,5,469,1035
Amenra_Mass VI,4,2804,0,0,0,1055
Amenra_Mass VI,4,856,0,7,1761,2017
Amenra_Mass VI,2,1106,0,0,0,1019
Amenra_Mass VI,2.5,4175,96,10,5699,2434
Amenra_Mass VI,3.5,3060,252,5,2437,813
Amenra_Mass VI,5,106,0,0,0,1147
Amenra_Mass VI,5,245,0,0,0,2018
Amenra_Mass VI,2.5,874,0,0,0,936
Amenra_Mass VI,4,6,0,0,2,2527
Amenra_Mass VI,2,509,9,55,5661,294
Amenra_Mass VI,4.5,984,47,71,4801,103
Amenra_Mass VI,4.5,269,0,0,6,1809
Amenra_Mass VI,4,28,0,0,0,2689
Amenra_Mass VI,4.5,18,0,0,0,181
Amenra_Mass VI,4.5,816,0,10,2579,99
Amenra_Mass VI,4,1061,2,21,10697,237
Amenra_Mass VI,3.2,8910,279,16,17325,1989
Amenra_Mass VI,4.5,1744,82,49,5483,2481
Amenra_Mass VI,3.5,60,0,0,0,204
Amenra_Mass VI,4,563,4,6,428,2430
Amenra_Mass VI,4.5,351,0,0,42,2712
Amenra_Mass VI,4,474,40,6,473,584
Amenra_Mass VI,4.5,2060,1,38,2317,2528
Amenra_Mass VI,4.5,1073,0,0,1,1979
Amenra_Mass VI,2.5,651,0,0,0,1500
Amenra_Mass VI,4,261,0,0,12,1065
Amenra_Mass VI,2.5,325,0,0,0,1762
Amenra_Mass VI,5,7,0,0,0,1290
Amenra_Mass VI,3.5,680,0,0,2,487
Amenra_Mass VI,4,964,2,0,1815,661
Amenra_Mass VI,3,247,0,0,0,385
