Band_Album,Rating,ratings,reviews,lists,comments
Joy Division_Unknown Pleasures,4.5,47,0,0,0
Joy Division_Unknown Pleasures,5,1619,13,17,2652
Joy Division_Unknown Pleasures,3.5,3073,0,0,2
Joy Division_Unknown Pleasures,4.5,404,0,0,0
Joy Division_Unknown Pleasures,5,151,0,0,3
Joy Division_Unknown Pleasures,4.5,2806,0,0,0
Joy Division_Unknown Pleasures,5,386,0,0,0
Joy Division_Unknown Pleasures,4,581,4,18,4161
Joy Division_Unknown Pleasures,2.5,513,0,0,0
Joy Division_Unknown Pleasures,5,5,0,0,2628
Joy Division_Unknown Pleasures,4.5,205,0,0,0
Joy Division_Unknown Pleasures,5,767,0,0,0
Joy Division_Unknown Pleasures,5,141,0,4,4
Joy Division_Unknown Pleasures,4,2109,0,2,51
Joy Division_Unknown Pleasures,3.5,1157,0,0,84
Joy Division_Unknown Pleasures,4,408,1,9,18
Joy Division_Unknown Pleasures,4,166,0,0,0
Joy Division_Unknown Pleasures,3.5,903,2,53,8078
Joy Division_Unknown Pleasures,5,891,0,0,0
Joy Division_Unknown Pleasures,4,151,1,14,2027
Joy Division_Unknown Pleasures,3,819,0,0,0
Joy Division_Unknown Pleasures,5,544,0,0,0
Joy Division_Unknown Pleasures,4.5,741,0,0,1
Joy Division_Unknown Pleasures,4.5,1318,13,18,7179
Joy Division_Unknown Pleasures,4,1300,0,0,2
Joy Division_Unknown Pleasures,4.5,259,0,2,0
Joy Division_Unknown Pleasures,5,374,0,5,106
Joy Division_Unknown Pleasures,5,1271,0,0,0
Joy Division_Unknown Pleasures,3,1131,54,54,23852
Joy Division_Unknown Pleasures,3,724,2,4,2947
Joy Division_Unknown Pleasures,3.5,470,0,1,8
Joy Division_Unknown Pleasures,3.5,41,0,0,0
Joy Division_Unknown Pleasures,5,281,0,0,0
Joy Division_Unknown Pleasures,4.5,584,0,0,1
Joy Division_Unknown Pleasures,4.5,15,0,0,0
Joy Division_Unknown Pleasures,3.5,204,0,1,5
Joy Division_Unknown Pleasures,5,169,0,1,4
Joy Division_Unknown Pleasures,5,544,5,14,6908
Joy Division_Unknown Pleasures,5,959,0,0,0
Joy Division_Unknown Pleasures,4,205,0,0,0
Joy Division_Unknown Pleasures,5,155,0,0,0
Joy Division_Unknown Pleasures,4.5,133,0,0,0
Joy Division_Unknown Pleasures,5,218,0,0,2
Joy Division_Unknown Pleasures,3.5,83,0,9,20
Joy Division_Unknown Pleasures,4,153,0,0,0
Joy Division_Unknown Pleasures,5,55,0,0,0
Joy Division_Unknown Pleasures,4.5,257,4,5,7
Joy Division_Unknown Pleasures,3,2669,0,0,10
Joy Division_Unknown Pleasures,4.5,983,0,0,0
Joy Division_Unknown Pleasures,5,884,0,1,33
Joy Division_Unknown Pleasures,5,734,0,0,0
Joy Division_Unknown Pleasures,4.5,1218,0,0,0
Joy Division_Unknown Pleasures,4,1231,0,0,6
Joy Division_Unknown Pleasures,5,1233,0,0,24
Joy Division_Unknown Pleasures,5,76,0,0,1
Joy Division_Unknown Pleasures,4.5,2254,0,28,1083
Joy Division_Unknown Pleasures,5,874,0,0,0
Joy Division_Unknown Pleasures,4,66,0,0,0
Joy Division_Unknown Pleasures,4,1415,0,3,250
Joy Division_Unknown Pleasures,5,202,0,0,0
Joy Division_Unknown Pleasures,4.5,685,0,0,0
Joy Division_Unknown Pleasures,5,30,0,0,0
Joy Division_Unknown Pleasures,3.5,449,0,0,0
Joy Division_Unknown Pleasures,4.5,1111,0,0,0
Joy Division_Unknown Pleasures,5,1225,0,12,25698
Joy Division_Unknown Pleasures,4,185,0,0,0
Joy Division_Unknown Pleasures,5,32,0,0,0
Joy Division_Unknown Pleasures,5,2006,0,5,641
Joy Division_Unknown Pleasures,4.5,327,0,0,0
Joy Division_Unknown Pleasures,5,218,0,0,0
Joy Division_Unknown Pleasures,4.5,40,0,0,19
Joy Division_Unknown Pleasures,3.5,1785,5,16,1309
Joy Division_Unknown Pleasures,3.5,204,1,7,9
Joy Division_Unknown Pleasures,4,72,0,0,0
Joy Division_Unknown Pleasures,4.5,296,0,4,12
Joy Division_Unknown Pleasures,4.5,575,0,4,22
Joy Division_Unknown Pleasures,4.5,258,0,0,0
Joy Division_Unknown Pleasures,4.5,325,0,0,1
Joy Division_Unknown Pleasures,4.5,579,0,0,0
Joy Division_Unknown Pleasures,4,454,0,0,0
Joy Division_Unknown Pleasures,4,426,0,0,0
Joy Division_Unknown Pleasures,5,234,0,1,246
Joy Division_Unknown Pleasures,4,415,6,8,13
Joy Division_Unknown Pleasures,5,260,0,0,33
Joy Division_Unknown Pleasures,4.5,57,0,0,0
Joy Division_Unknown Pleasures,4.5,294,0,0,12
Joy Division_Unknown Pleasures,4,508,0,0,0
Joy Division_Unknown Pleasures,5,1823,0,0,5
Joy Division_Unknown Pleasures,5,1228,1,4,13
Joy Division_Unknown Pleasures,4.5,559,4,30,3047
Joy Division_Unknown Pleasures,3.5,1107,51,85,20348
Joy Division_Unknown Pleasures,4,479,3,5,349
Joy Division_Unknown Pleasures,4.5,534,0,0,0
Joy Division_Unknown Pleasures,2.5,1061,2,21,10697
Joy Division_Unknown Pleasures,3.5,585,32,81,7534
Joy Division_Unknown Pleasures,5,6687,8,179,38961
Joy Division_Unknown Pleasures,4,2293,0,20,55
Joy Division_Unknown Pleasures,4.5,103,0,0,0
Joy Division_Unknown Pleasures,4.5,650,0,0,0
Joy Division_Unknown Pleasures,4.5,419,0,0,0
Joy Division_Unknown Pleasures,5,909,2,5,164
Joy Division_Unknown Pleasures,4.5,330,0,0,0
Joy Division_Unknown Pleasures,4.5,89,0,8,5
Joy Division_Unknown Pleasures,4,510,0,0,0
Joy Division_Unknown Pleasures,4.5,515,0,0,0
Joy Division_Unknown Pleasures,4,103,0,4,175
Joy Division_Unknown Pleasures,4.5,973,0,0,0
Joy Division_Unknown Pleasures,4.5,318,0,5,23
Joy Division_Unknown Pleasures,5,76,0,0,0
Joy Division_Unknown Pleasures,5,166,0,8,228
Joy Division_Unknown Pleasures,4,524,0,0,5
Joy Division_Unknown Pleasures,4,154,0,1,2
Joy Division_Unknown Pleasures,5,421,0,0,0
Joy Division_Unknown Pleasures,4.5,31,0,0,0
Joy Division_Unknown Pleasures,4,325,0,0,0
Joy Division_Unknown Pleasures,4.5,795,0,0,0
Joy Division_Unknown Pleasures,4.5,395,0,1,1
Joy Division_Unknown Pleasures,4.5,14,0,0,0
Joy Division_Unknown Pleasures,4.5,125,0,0,0
Joy Division_Unknown Pleasures,4.5,527,5,1,99
Joy Division_Unknown Pleasures,4,3335,0,0,0
Joy Division_Unknown Pleasures,4,547,0,6,179
Joy Division_Unknown Pleasures,4.5,994,0,0,0
Joy Division_Unknown Pleasures,5,39,0,0,2
Joy Division_Unknown Pleasures,4.5,374,0,0,59
Joy Division_Unknown Pleasures,5,188,0,0,0
Joy Division_Unknown Pleasures,4.5,184,0,0,0
Joy Division_Unknown Pleasures,4,876,0,0,0
Joy Division_Unknown Pleasures,5,138,0,0,55
Joy Division_Unknown Pleasures,3,1458,29,8,6728
Joy Division_Unknown Pleasures,5,537,0,0,0
Joy Division_Unknown Pleasures,4.5,777,0,0,0
Joy Division_Unknown Pleasures,5,258,0,0,2
Joy Division_Unknown Pleasures,4,673,0,0,0
